,cpu_percent,cpu_percent,memory_percent,memory_percent,disk_io_read_bytes,disk_io_write_bytes
,mean,max,mean,max,sum,sum
run_id,,,,,,
run_01,6.62,28.1,1.75,1.8,0,6684672
run_02,70.09,100.0,12.82,16.9,12288,448262144
run_03,69.98,100.0,13.06,16.9,8192,439091200
run_04,71.12,100.0,13.38,16.9,8192,522522624
run_05,66.3,100.0,12.12,16.9,4096,276692992
run_06,67.17,100.0,13.26,16.9,8192,354394112
run_07,71.27,100.0,13.14,16.9,8192,416808960
run_08,70.08,100.0,13.11,16.9,8192,289476608
run_09,67.65,100.0,12.53,16.9,8192,522489856
run_10,70.13,100.0,13.08,16.9,4096,225374208
