test_id,all_axons.B_inf,all_axons.growth_nu0,turn_separation,convergent_neurons,percentage,status,elapsed_time
1,16.948144802903496,0.0003917173949330819,8.237528002182156,2,20%,✗ Failed,13:29
2,13.952752369197306,0.0005229163764267956,2.799799326544023,0,0%,✗ Failed,15:00
3,11.88873337948801,0.00046685430556951094,3.1429345433755262,0,0%,✗ Failed,15:00
4,14.763327094232794,0.0003282057895135501,7.775990178134599,0,0%,✗ Failed,11:05
5,19.078290635236257,0.0003003893829205071,9.937692474329742,0,0%,✗ Failed,05:19
6,14.26222264441575,0.0006058265802441406,2.0565304417577392,0,0%,✗ Failed,15:00
7,5.345936375621236,0.0005623873301291946,5.198887773722045,8,80%,✓ Good,07:07
8,5.699984948204231,0.0007868777594207297,3.8621707234424343,10,100%,✓ Excellent,13:05
9,5.719346366632425,0.0007999999999999999,3.781237628994405,0,0%,✗ Failed,15:00
10,7.808202020291558,0.000434200699886657,9.183247763024568,3,30%,✗ Failed,05:19
11,5.0,0.0003,10.0,0,0%,✗ Failed,10:38
12,12.90764952801931,0.0007842914365047634,7.1363179105971355,0,0%,✗ Failed,15:00
13,6.945275456585222,0.0007866846597640051,3.8406312853120097,10,100%,✓ Excellent,11:38
14,12.679659046202655,0.000786663264577621,3.8927968014943137,0,0%,✗ Failed,15:00
15,6.229713079390576,0.0007849197929902985,4.229837560526808,10,100%,✓ Excellent,14:45
16,6.259723037709276,0.0007858945693342125,4.01503041577223,10,100%,✓ Excellent,09:56
17,6.283652554444738,0.0007860697100320691,4.038251077602579,0,0%,✗ Failed,15:00
18,5.0,0.0007534366481720522,2.0,10,100%,✓ Excellent,09:42
19,5.0,0.000349663934784541,2.0,0,0%,✗ Failed,11:45
20,5.0,0.0006802248221007751,8.832717873368573,9,90%,✓ Excellent,08:51
21,5.0,0.0006706815869315714,9.160019630636633,0,0%,✗ Failed,15:00
22,20.0,0.0007999999999999999,9.730002393024222,10,100%,✓ Excellent,10:31
23,20.0,0.0007999999999999999,9.827346581697846,10,100%,✓ Excellent,07:43
24,20.0,0.0007999999999999999,2.706861690660063,10,100%,✓ Excellent,12:55
25,20.0,0.0007999999999999999,2.96484622402557,10,100%,✓ Excellent,12:16
26,20.0,0.0007999999999999999,3.649588930011743,0,0%,✗ Failed,15:00
27,20.0,0.0006744947016530346,6.897074261546541,10,100%,✓ Excellent,06:57
28,20.0,0.0007999999999999999,10.0,10,100%,✓ Excellent,14:49
29,20.0,0.0006498189568745053,7.70981412106487,8,80%,✓ Good,08:36
30,18.540899269406413,0.0007999999999999999,10.0,10,100%,✓ Excellent,05:18
31,18.56851266422534,0.0007999999999999999,10.0,9,90%,✓ Excellent,09:15
32,19.365104699692232,0.0005585760471345006,3.7844857903683606,0,0%,✗ Failed,15:00
33,6.846391345677325,0.00035017363950214824,8.373098849774983,1,10%,✗ Failed,12:25
34,16.90440543718139,0.00036796563810317267,5.733459420099213,2,20%,✗ Failed,11:53
35,12.597010505264128,0.0005583319721874111,6.449163820766959,0,0%,✗ Failed,15:00
36,17.016692335543773,0.0003865244330764616,8.74735946938145,2,20%,✗ Failed,11:41
37,10.627077003759643,0.0005247734247090521,4.466300321501086,7,70%,✓ Good,12:47
38,6.118869685453052,0.0007107614652993276,4.870772973772594,9,90%,✓ Excellent,06:27
39,15.653651126611742,0.0004326399426613267,2.0234988297978633,0,0%,✗ Failed,15:00
40,18.09644651636328,0.00042615486883236455,5.232861709885385,7,70%,✓ Good,12:55
