test_id,all_axons.B_inf,all_axons.growth_nu0,turn_separation,convergent_neurons,percentage,status,notes,elapsed_time
1,6.0,0.00075,3.0,10.0,100%,✓ Excellent,"all_axons.B_inf=6.000000, all_axons.growth_nu0=0.000750, turn_separation=3.000000",11:00
2,6.0,0.00075,5.5,10.0,100%,✓ Excellent,"all_axons.B_inf=6.000000, all_axons.growth_nu0=0.000750, turn_separation=5.500000",03:57
3,6.0,0.00075,8.0,9.0,90%,✓ Excellent,"all_axons.B_inf=6.000000, all_axons.growth_nu0=0.000750, turn_separation=8.000000",13:52
4,6.0,0.0008,3.0,10.0,100%,✓ Excellent,"all_axons.B_inf=6.000000, all_axons.growth_nu0=0.000800, turn_separation=3.000000",13:11
5,6.0,0.0008,5.5,10.0,100%,✓ Excellent,"all_axons.B_inf=6.000000, all_axons.growth_nu0=0.000800, turn_separation=5.500000",06:07
6,6.0,0.0008,8.0,10.0,100%,✓ Excellent,"all_axons.B_inf=6.000000, all_axons.growth_nu0=0.000800, turn_separation=8.000000",07:53
7,13.0,0.00075,3.0,N/A,0%,✗ Failed,"all_axons.B_inf=13.000000, all_axons.growth_nu0=0.000750, turn_separation=3.000000",15:00
8,13.0,0.00075,5.5,10,100%,✓ Excellent,"all_axons.B_inf=13.000000, all_axons.growth_nu0=0.000750, turn_separation=5.500000",12:48
9,13.0,0.00075,8.0,N/A,0%,✗ Failed,"all_axons.B_inf=13.000000, all_axons.growth_nu0=0.000750, turn_separation=8.000000",15:00
10,13.0,0.0008,3.0,10,100%,✓ Excellent,"all_axons.B_inf=13.000000, all_axons.growth_nu0=0.000800, turn_separation=3.000000",13:11
11,13.0,0.0008,5.5,N/A,0%,✗ Failed,"all_axons.B_inf=13.000000, all_axons.growth_nu0=0.000800, turn_separation=5.500000",15:00
12,13.0,0.0008,8.0,10,100%,✓ Excellent,"all_axons.B_inf=13.000000, all_axons.growth_nu0=0.000800, turn_separation=8.000000",04:12
13,20.0,0.00075,3.0,N/A,0%,✗ Failed,"all_axons.B_inf=20.000000, all_axons.growth_nu0=0.000750, turn_separation=3.000000",15:03
14,20.0,0.00075,5.5,10,100%,✓ Excellent,"all_axons.B_inf=20.000000, all_axons.growth_nu0=0.000750, turn_separation=5.500000",05:22
15,20.0,0.00075,8.0,10,100%,✓ Excellent,"all_axons.B_inf=20.000000, all_axons.growth_nu0=0.000750, turn_separation=8.000000",04:25
16,20.0,0.0008,3.0,10,100%,✓ Excellent,"all_axons.B_inf=20.000000, all_axons.growth_nu0=0.000800, turn_separation=3.000000",11:24
17,20.0,0.0008,5.5,10,100%,✓ Excellent,"all_axons.B_inf=20.000000, all_axons.growth_nu0=0.000800, turn_separation=5.500000",14:19
18,20.0,0.0008,8.0,10,100%,✓ Excellent,"all_axons.B_inf=20.000000, all_axons.growth_nu0=0.000800, turn_separation=8.000000",10:41
