pattern,neuron_vm,rmse_mV
00,PyrIn_B1_vm,0.1777151059122128
00,PyrIn_A_vm,0.26636087804964825
00,PyrIn_B2_vm,0.1777151059122128
00,E_vm,0.18032957422752308
01,PyrIn_B1_vm,1.804554365423994e-06
01,PyrIn_A_vm,0.28076901806641225
01,PyrIn_B2_vm,1.804554365423994e-06
01,E_vm,9.995563513658615
10,PyrIn_B1_vm,0.19853383729458646
10,PyrIn_A_vm,1.804554365423994e-06
10,PyrIn_B2_vm,0.19853383729458646
10,E_vm,7.106176577065775
11,PyrIn_B1_vm,1.804554365423994e-06
11,PyrIn_A_vm,1.804554365423994e-06
11,PyrIn_B2_vm,1.804554365423994e-06
11,E_vm,0.9236735847472192
