pattern,trial_id,r
00,0,1.0
00,4,1.0
00,8,1.0
00,12,1.0
00,16,1.0
00,20,1.0
00,24,1.0
00,28,1.0
00,32,1.0
00,36,1.0
01,2,0.99773084728885
01,6,0.99773084728885
01,10,0.99773084728885
01,14,0.99773084728885
01,18,0.99773084728885
01,22,0.99773084728885
01,26,0.99773084728885
01,30,0.99773084728885
01,34,0.99773084728885
01,38,0.99773084728885
10,3,0.99773084728885
10,5,1.0
10,11,0.99773084728885
10,13,1.0
10,19,0.99773084728885
10,21,1.0
10,27,0.99773084728885
10,29,1.0
10,35,0.99773084728885
10,37,1.0
11,1,1.0
11,7,1.0
11,9,1.0
11,15,1.0
11,17,1.0
11,23,1.0
11,25,1.0
11,31,1.0
11,33,1.0
11,39,1.0
