pattern,trial_id,VR,GT_spikes,SUB_spikes
00,0,0.0,0,0
00,4,0.0,0,0
00,8,0.0,0,0
00,12,0.0,0,0
00,16,0.0,0,0
00,20,0.0,0,0
00,24,0.0,0,0
00,28,0.0,0,0
00,32,0.0,0,0
00,36,0.0,0,0
01,2,0.04938146185527823,1,1
01,6,0.04938146185527823,1,1
01,10,0.04938146185527823,1,1
01,14,0.04938146185527823,1,1
01,18,0.04938146185527823,1,1
01,22,0.04938146185527823,1,1
01,26,0.04938146185527823,1,1
01,30,0.04938146185527823,1,1
01,34,0.04938146185527823,1,1
01,38,0.04938146185527823,1,1
10,3,0.04938146185527823,1,1
10,5,0.0,1,1
10,11,0.04938146185527823,1,1
10,13,0.0,1,1
10,19,0.04938146185527823,1,1
10,21,0.0,1,1
10,27,0.04938146185527823,1,1
10,29,0.0,1,1
10,35,0.04938146185527823,1,1
10,37,0.0,1,1
11,1,0.0,0,0
11,7,0.0,0,0
11,9,0.0,0,0
11,15,0.0,0,0
11,17,0.0,0,0
11,23,0.0,0,0
11,25,0.0,0,0
11,31,0.0,0,0
11,33,0.0,0,0
11,39,0.0,0,0
