neuron_id,spike_time_ms
25,100.0
27,100.0
30,100.0
25,200.0
30,200.0
4,214.0
27,300.0
4,314.0
27,500.0
4,514.0
25,600.0
30,600.0
4,614.0
25,700.0
27,700.0
30,700.0
25,900.0
27,900.0
30,900.0
25,1000.0
30,1000.0
4,1014.0
27,1100.0
4,1114.0
27,1300.0
4,1314.0
25,1400.0
30,1400.0
4,1414.0
25,1500.0
27,1500.0
30,1500.0
25,1700.0
27,1700.0
30,1700.0
25,1800.0
30,1800.0
4,1814.0
27,1900.0
4,1914.0
27,2100.0
4,2114.0
25,2200.0
30,2200.0
4,2214.0
25,2300.0
27,2300.0
30,2300.0
25,2500.0
27,2500.0
30,2500.0
25,2600.0
30,2600.0
4,2614.0
27,2700.0
4,2714.0
27,2900.0
4,2914.0
25,3000.0
30,3000.0
4,3014.0
25,3100.0
27,3100.0
30,3100.0
25,3300.0
27,3300.0
30,3300.0
25,3400.0
30,3400.0
4,3414.0
27,3500.0
4,3514.0
27,3700.0
4,3714.0
25,3800.0
30,3800.0
4,3814.0
25,3900.0
27,3900.0
30,3900.0
